# Parametric Fisher Information & CRLB Results
# G(t) = 1e-3 + 1e-4 * cos(2*pi*t)
# theta_true = (1.000000e-03, 1.000000e-04)
# theta_fit  = (1.000260e-03, 9.912823e-05)
# sigma per channel = (1.00e-05, 1.00e-05, 1.00e-05)
# F_scalar = 15000000000.0000
# CRLB_scalar = 6.666667e-11
#
# Fisher parametric (2x2):
#   7.500000e+12  1.500000e+10
#   1.500000e+10  3.757500e+12
#
# CRLB parametric (2x2):
#   1.333344e-13  -5.322730e-16
#   -5.322730e-16  2.661365e-13
#
# t	G_true	G_hat	G_recon	G_fit
0.62324649	0.00092851	0.00093291	0.00092851	0.00092940
0.62525050	0.00092940	0.00094455	0.00092940	0.00093028
0.62725451	0.00093030	0.00093703	0.00093030	0.00093117
0.62925852	0.00093121	0.00094679	0.00093121	0.00093207
0.63126253	0.00093213	0.00092236	0.00093213	0.00093298
0.63326653	0.00093306	0.00093938	0.00093306	0.00093390
0.63527054	0.00093400	0.00093786	0.00093400	0.00093483
0.63727455	0.00093495	0.00093766	0.00093495	0.00093577
0.63927856	0.00093591	0.00094214	0.00093591	0.00093673
0.64128257	0.00093688	0.00093408	0.00093688	0.00093769
0.64328657	0.00093786	0.00095123	0.00093786	0.00093866
0.64529058	0.00093885	0.00094872	0.00093885	0.00093965
0.64729459	0.00093985	0.00095139	0.00093985	0.00094064
0.64929860	0.00094087	0.00093119	0.00094087	0.00094164
0.65130261	0.00094189	0.00094348	0.00094189	0.00094265
0.65330661	0.00094291	0.00096117	0.00094291	0.00094367
0.65531062	0.00094395	0.00094575	0.00094395	0.00094470
0.65731463	0.00094500	0.00094636	0.00094500	0.00094574
0.65931864	0.00094606	0.00094837	0.00094606	0.00094679
0.66132265	0.00094712	0.00093808	0.00094712	0.00094784
0.66332665	0.00094819	0.00093609	0.00094819	0.00094890
0.66533066	0.00094927	0.00094309	0.00094927	0.00094998
0.66733467	0.00095036	0.00094073	0.00095036	0.00095106
0.66933868	0.00095146	0.00095773	0.00095146	0.00095214
0.67134269	0.00095257	0.00095315	0.00095257	0.00095324
0.67334669	0.00095368	0.00095851	0.00095368	0.00095434
0.67535070	0.00095480	0.00094600	0.00095480	0.00095545
0.67735471	0.00095592	0.00096524	0.00095592	0.00095657
0.67935872	0.00095706	0.00095187	0.00095706	0.00095769
