# Signal Processing Proof Results
# H shape: (3, 1), sigma_z: 1e-05
# SVD singular values: [1.224744871391589]
# Condition number: 1.00
# Fisher F: 45000000000.0000
# CRLB: 2.222222e-11
# LS RMS error: 7.797385e-06
# Reg RMS error: 7.797385e-06
# Iter RMS error: 7.797385e-06
# All checks pass: True
#
# t	G_true	x_hat_LS	x_hat_reg	x_hat_iter
0.35470942	0.00093885	0.00095406	0.00095406	0.00095406
0.35671343	0.00093786	0.00093592	0.00093592	0.00093592
0.35871743	0.00093688	0.00095557	0.00095557	0.00095557
0.36072144	0.00093591	0.00094309	0.00094309	0.00094309
0.36272545	0.00093495	0.00093011	0.00093011	0.00093011
0.36472946	0.00093400	0.00092817	0.00092817	0.00092817
0.36673347	0.00093306	0.00093267	0.00093267	0.00093267
0.36873747	0.00093213	0.00092326	0.00092326	0.00092326
0.37074148	0.00093121	0.00094148	0.00094148	0.00094148
0.37274549	0.00093030	0.00092938	0.00092938	0.00092938
0.37474950	0.00092940	0.00092692	0.00092692	0.00092692
0.37675351	0.00092851	0.00092707	0.00092707	0.00092707
0.37875752	0.00092764	0.00091579	0.00091579	0.00091579
0.38076152	0.00092678	0.00092295	0.00092295	0.00092295
0.38276553	0.00092592	0.00093105	0.00093105	0.00093105
0.38476954	0.00092508	0.00092090	0.00092090	0.00092090
0.38677355	0.00092426	0.00091907	0.00091907	0.00091907
0.38877756	0.00092344	0.00092126	0.00092126	0.00092126
0.39078156	0.00092264	0.00092564	0.00092564	0.00092564
0.39278557	0.00092184	0.00091697	0.00091697	0.00091697
0.39478958	0.00092107	0.00091976	0.00091976	0.00091976
0.39679359	0.00092030	0.00092451	0.00092451	0.00092451
0.39879760	0.00091954	0.00091586	0.00091586	0.00091586
0.40080160	0.00091880	0.00091986	0.00091986	0.00091986
0.40280561	0.00091807	0.00092388	0.00092388	0.00092388
0.40480962	0.00091736	0.00092264	0.00092264	0.00092264
0.40681363	0.00091666	0.00092080	0.00092080	0.00092080
0.40881764	0.00091597	0.00090176	0.00090176	0.00090176
0.41082164	0.00091529	0.00091119	0.00091119	0.00091119
0.41282565	0.00091463	0.00091145	0.00091145	0.00091145
0.41482966	0.00091398	0.00092105	0.00092105	0.00092105
0.41683367	0.00091335	0.00090516	0.00090516	0.00090516
0.41883768	0.00091272	0.00094990	0.00094990	0.00094990
0.42084168	0.00091212	0.00091248	0.00091248	0.00091248
0.42284569	0.00091152	0.00091646	0.00091646	0.00091646
0.42484970	0.00091094	0.00091309	0.00091309	0.00091309
0.42685371	0.00091038	0.00091903	0.00091903	0.00091903
0.42885772	0.00090983	0.00090661	0.00090661	0.00090661
0.43086172	0.00090929	0.00092218	0.00092218	0.00092218
0.43286573	0.00090877	0.00090175	0.00090175	0.00090175
0.43486974	0.00090826	0.00090811	0.00090811	0.00090811
0.43687375	0.00090776	0.00090053	0.00090053	0.00090053
0.43887776	0.00090728	0.00091479	0.00091479	0.00091479
0.44088176	0.00090682	0.00091932	0.00091932	0.00091932
0.44288577	0.00090637	0.00088925	0.00088925	0.00088925
0.44488978	0.00090594	0.00090813	0.00090813	0.00090813
0.44689379	0.00090552	0.00089862	0.00089862	0.00089862
0.44889780	0.00090511	0.00090192	0.00090192	0.00090192
0.45090180	0.00090472	0.00091093	0.00091093	0.00091093
0.45290581	0.00090435	0.00090498	0.00090498	0.00090498
0.45490982	0.00090399	0.00089747	0.00089747	0.00089747
0.45691383	0.00090364	0.00090029	0.00090029	0.00090029
0.45891784	0.00090331	0.00091262	0.00091262	0.00091262
0.46092184	0.00090300	0.00089692	0.00089692	0.00089692
0.46292585	0.00090270	0.00089632	0.00089632	0.00089632
0.46492986	0.00090242	0.00090379	0.00090379	0.00090379
0.46693387	0.00090215	0.00090073	0.00090073	0.00090073
0.46893788	0.00090190	0.00091694	0.00091694	0.00091694
0.47094188	0.00090166	0.00091293	0.00091293	0.00091293
0.47294589	0.00090144	0.00089439	0.00089439	0.00089439
0.47494990	0.00090124	0.00090391	0.00090391	0.00090391
0.47695391	0.00090105	0.00090408	0.00090408	0.00090408
0.47895792	0.00090087	0.00091536	0.00091536	0.00091536
0.48096192	0.00090071	0.00088803	0.00088803	0.00088803
0.48296593	0.00090057	0.00089486	0.00089486	0.00089486
0.48496994	0.00090045	0.00089979	0.00089979	0.00089979
0.48697395	0.00090033	0.00090281	0.00090281	0.00090281
0.48897796	0.00090024	0.00089180	0.00089180	0.00089180
0.49098196	0.00090016	0.00089143	0.00089143	0.00089143
0.49298597	0.00090010	0.00089767	0.00089767	0.00089767
0.49498998	0.00090005	0.00089061	0.00089061	0.00089061
0.49699399	0.00090002	0.00091053	0.00091053	0.00091053
0.49899800	0.00090000	0.00089283	0.00089283	0.00089283
0.50100200	0.00090000	0.00088962	0.00088962	0.00088962
0.50300601	0.00090002	0.00090441	0.00090441	0.00090441
0.50501002	0.00090005	0.00090430	0.00090430	0.00090430
0.50701403	0.00090010	0.00091174	0.00091174	0.00091174
0.50901804	0.00090016	0.00089096	0.00089096	0.00089096
0.51102204	0.00090024	0.00090175	0.00090175	0.00090175
0.51302605	0.00090033	0.00091600	0.00091600	0.00091600
0.51503006	0.00090045	0.00089774	0.00089774	0.00089774
0.51703407	0.00090057	0.00089832	0.00089832	0.00089832
0.51903808	0.00090071	0.00090803	0.00090803	0.00090803
0.52104208	0.00090087	0.00089464	0.00089464	0.00089464
0.52304609	0.00090105	0.00090131	0.00090131	0.00090131
0.52505010	0.00090124	0.00088996	0.00088996	0.00088996
0.52705411	0.00090144	0.00089122	0.00089122	0.00089122
0.52905812	0.00090166	0.00090437	0.00090437	0.00090437
0.53106212	0.00090190	0.00088652	0.00088652	0.00088652
0.53306613	0.00090215	0.00091255	0.00091255	0.00091255
0.53507014	0.00090242	0.00089577	0.00089577	0.00089577
0.53707415	0.00090270	0.00089523	0.00089523	0.00089523
0.53907816	0.00090300	0.00091403	0.00091403	0.00091403
0.54108216	0.00090331	0.00091892	0.00091892	0.00091892
0.54308617	0.00090364	0.00089423	0.00089423	0.00089423
0.54509018	0.00090399	0.00091021	0.00091021	0.00091021
0.54709419	0.00090435	0.00090660	0.00090660	0.00090660
0.54909820	0.00090472	0.00090429	0.00090429	0.00090429
0.55110220	0.00090511	0.00090343	0.00090343	0.00090343
0.55310621	0.00090552	0.00091215	0.00091215	0.00091215
0.55511022	0.00090594	0.00090242	0.00090242	0.00090242
0.55711423	0.00090637	0.00090723	0.00090723	0.00090723
0.55911824	0.00090682	0.00090529	0.00090529	0.00090529
0.56112224	0.00090728	0.00090908	0.00090908	0.00090908
0.56312625	0.00090776	0.00090722	0.00090722	0.00090722
0.56513026	0.00090826	0.00092246	0.00092246	0.00092246
0.56713427	0.00090877	0.00090574	0.00090574	0.00090574
0.56913828	0.00090929	0.00092275	0.00092275	0.00092275
0.57114228	0.00090983	0.00089598	0.00089598	0.00089598
0.57314629	0.00091038	0.00090602	0.00090602	0.00090602
0.57515030	0.00091094	0.00091809	0.00091809	0.00091809
0.57715431	0.00091152	0.00090948	0.00090948	0.00090948
0.57915832	0.00091212	0.00089525	0.00089525	0.00089525
0.58116232	0.00091272	0.00091406	0.00091406	0.00091406
0.58316633	0.00091335	0.00091906	0.00091906	0.00091906
0.58517034	0.00091398	0.00091094	0.00091094	0.00091094
0.58717435	0.00091463	0.00091883	0.00091883	0.00091883
0.58917836	0.00091529	0.00091434	0.00091434	0.00091434
0.59118236	0.00091597	0.00091453	0.00091453	0.00091453
0.59318637	0.00091666	0.00092559	0.00092559	0.00092559
0.59519038	0.00091736	0.00092071	0.00092071	0.00092071
0.59719439	0.00091807	0.00092448	0.00092448	0.00092448
0.59919840	0.00091880	0.00092417	0.00092417	0.00092417
0.60120240	0.00091954	0.00091492	0.00091492	0.00091492
0.60320641	0.00092030	0.00091815	0.00091815	0.00091815
0.60521042	0.00092107	0.00092578	0.00092578	0.00092578
0.60721443	0.00092184	0.00092185	0.00092185	0.00092185
0.60921844	0.00092264	0.00092284	0.00092284	0.00092284
0.61122244	0.00092344	0.00092020	0.00092020	0.00092020
0.61322645	0.00092426	0.00093361	0.00093361	0.00093361
0.61523046	0.00092508	0.00091951	0.00091951	0.00091951
0.61723447	0.00092592	0.00093738	0.00093738	0.00093738
0.61923848	0.00092678	0.00092403	0.00092403	0.00092403
0.62124248	0.00092764	0.00092548	0.00092548	0.00092548
0.62324649	0.00092851	0.00093710	0.00093710	0.00093710
0.62525050	0.00092940	0.00094436	0.00094436	0.00094436
0.62725451	0.00093030	0.00093824	0.00093824	0.00093824
0.62925852	0.00093121	0.00094338	0.00094338	0.00094338
0.63126253	0.00093213	0.00092294	0.00092294	0.00092294
0.63326653	0.00093306	0.00093494	0.00093494	0.00093494
0.63527054	0.00093400	0.00093388	0.00093388	0.00093388
0.63727455	0.00093495	0.00093535	0.00093535	0.00093535
0.63927856	0.00093591	0.00093797	0.00093797	0.00093797
0.64128257	0.00093688	0.00093599	0.00093599	0.00093599
0.64328657	0.00093786	0.00094829	0.00094829	0.00094829
0.64529058	0.00093885	0.00094083	0.00094083	0.00094083
0.64729459	0.00093985	0.00095422	0.00095422	0.00095422
0.64929860	0.00094087	0.00093289	0.00093289	0.00093289
0.65130261	0.00094189	0.00093205	0.00093205	0.00093205
